,classifier,cohort_identifier,cv_index,encoded_features_size,encoded_image_size,encoded_image_size_height,encoded_image_size_width,modality,module,non_varying_features,raw_image_size,raw_image_size_height,raw_image_size_width,training_scores_mean_test_AUC,training_scores_mean_test_Accuracy,training_scores_mean_test_F1,training_scores_mean_train_AUC,training_scores_mean_train_Accuracy,training_scores_mean_train_F1,AUC,Accuracy,Brier_Loss,DP,F1,Log_Loss,P+,P-,Precision,Recall,Specificity,Youdens
397,SVC,ppp1_raw_image_512x512,11,1280,,224.0,224.0,all_modalities,mobilenet_v2_050_224,118715,,512.0,512.0,0.7859822573924797,0.7261345852895149,0.7162653348659299,1.0,0.9968704006733531,0.9968747946707363,0.7846981725185145,0.7153284671532847,0.19103423088299684,1.017217468750389,0.7111111111111111,0.5749241843709808,2.5945945945945947,0.41,0.7218045112781954,0.7007299270072993,0.7299270072992701,0.43065693430656937
398,LogisticRegression,ppp1_raw_image_512x512,1,1536,,299.0,299.0,ms1_only,inception_resnet_v2,1536,,512.0,512.0,0.7406201710613085,0.6854460093896714,0.6779419160214879,0.8124750162690891,0.7295833979884044,0.7205028741826492,0.7677020619105973,0.6970802919708029,0.19625715101467672,0.9242865646716245,0.6867924528301886,0.5773743711177847,2.459459459459459,0.4600000000000001,0.7109375,0.6642335766423357,0.7299270072992701,0.3941605839416058
399,RandomForest,ppp1_cropped_image_512x243,1,1024,,224.0,224.0,ms1_only,inception_v1,927,,512.0,243.0,0.6663251892752587,0.622848200312989,0.6116169905849641,1.0,1.0,1.0,0.6703607011561618,0.6131386861313869,0.22847381021897809,0.5107732525510019,0.5984848484848484,0.6483627693041889,1.6458333333333333,0.651685393258427,0.6220472440944882,0.5766423357664233,0.6496350364963503,0.22627737226277367
400,LogisticRegression,ppp1_raw_image_2048x2048,0,256,,128.0,128.0,all_modalities,mobilenet_v1_025_128,24985,,2048.0,2048.0,0.7027036041858732,0.6690140845070423,0.6704231326028844,0.9999976488485424,0.9982789995626967,0.9982871768601908,0.7058980233363524,0.6277372262773723,0.22476595389745313,0.5851066387424709,0.6482758620689656,0.64162530456128,1.5932203389830508,0.5512820512820512,0.6143790849673203,0.6861313868613139,0.5693430656934306,0.25547445255474455
401,XGBoost,ppp1_raw_image_512x512,1,256,,128.0,128.0,all_modalities,mobilenet_v1_025_128,24969,,512.0,512.0,0.595864651375916,0.564945226917058,0.5693610336285709,1.0,1.0,1.0,0.6362086419095316,0.5875912408759124,0.2618402547317901,0.39055637460291287,0.5830258302583026,0.7626889448351206,1.4363636363636365,0.7073170731707317,0.5895522388059702,0.5766423357664233,0.5985401459854015,0.17518248175182483
402,LogisticRegression,ppp1_raw_image_512x512,0,1536,,299.0,299.0,all_modalities,inception_resnet_v2,155107,,512.0,512.0,0.853870915531234,0.7668231611893583,0.7586407538609532,0.999947061737458,0.9973400315986966,0.9973444245015526,0.8640311151366615,0.7883211678832117,0.15486503664926382,1.4596467703689804,0.781954887218045,0.5129373843994482,4.16,0.2946428571428572,0.8062015503875969,0.7591240875912408,0.8175182481751825,0.5766423357664233
403,SVC,ppp1_cropped_image_512x243,0,1280,,224.0,224.0,ms1_only,mobilenet_v2_100_224,1252,,512.0,243.0,0.6121883096076262,0.581377151799687,0.5722718324456487,0.9181057866979145,0.8469482218679909,0.8442159259276311,0.6838403750865789,0.6642335766423357,0.23388558460288383,0.7540035628590177,0.6567164179104479,0.6606351425764302,2.046511627906977,0.5212765957446808,0.6717557251908397,0.6423357664233577,0.6861313868613139,0.3284671532846716
404,RandomForest,ppp1_raw_image_512x512,1,1280,,96.0,96.0,ms1_only,mobilenet_v2_075_96,787,,512.0,512.0,0.5523060523245068,0.5391236306729265,0.5440734268975435,1.0,1.0,1.0,0.555703553732218,0.5437956204379562,0.25212769343065694,0.19751139141126794,0.5733788395904437,0.6983920249513701,1.1666666666666667,0.8153846153846154,0.5384615384615384,0.6131386861313869,0.4744525547445255,0.08759124087591241
405,LogisticRegression,ppp1_raw_image_512x512,0,1280,,224.0,224.0,all_modalities,mobilenet_v2_075_224,116858,,512.0,512.0,0.7666451773768632,0.6971830985915493,0.6932168199715246,1.0,0.9984350533933334,0.9984394452140065,0.7653044914486654,0.6788321167883211,0.20376689429028905,0.8287944702463669,0.6691729323308271,0.6089210909087396,2.225,0.4948453608247423,0.689922480620155,0.6496350364963503,0.708029197080292,0.35766423357664234
406,LogisticRegression,ppp1_raw_image_2048x2048,0,2048,,299.0,299.0,ms1_only,inception_v3_imagenet,2047,,2048.0,2048.0,0.7505246558159422,0.6846635367762128,0.6735942928933357,0.8458731051477121,0.7643193349226726,0.7569356340990261,0.7806489424050296,0.7335766423357665,0.19189279235721143,1.1278310067154351,0.7224334600760456,0.5694968633324706,3.064516129032259,0.39622641509433953,0.753968253968254,0.6934306569343066,0.7737226277372263,0.46715328467153294
407,RandomForest,ppp1_raw_image_2048x2048,1,1024,,128.0,128.0,all_modalities,mobilenet_v1_100_128,90848,,2048.0,2048.0,0.6446229203780802,0.6040688575899843,0.6066135057605683,1.0,1.0,1.0,0.6186797378656295,0.5912408759124088,0.24293328467153286,0.4078159264254469,0.6,0.6789248124073602,1.423728813559322,0.6794871794871795,0.5874125874125874,0.6131386861313869,0.5693430656934306,0.18248175182481752
408,LogisticRegression,ppp1_cropped_image_2048x973,0,1024,,224.0,224.0,ms1_only,inception_v1,930,,2048.0,973.0,0.6792368075992253,0.6283255086071987,0.6323377231865888,0.8217022573866588,0.7405312648412777,0.7409182829748943,0.7031807768128296,0.6715328467153284,0.21971210405709085,0.7893688593286793,0.6666666666666666,0.629355607007732,2.0930232558139537,0.5,0.6766917293233082,0.656934306569343,0.6861313868613139,0.34306569343065696
